author,degree,betweenness,closeness,eigenvector
Nicholas Gregory,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Matthew Black,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Tony Cai,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Paul Sztorc,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
CryptAxe,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Pavel Moravec,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Jan Čapek,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Shinobius,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Michael Folkson,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
James O'Beirne,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Greg Sanders,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Ethan Heilman,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Armin Sabouri,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Brandon Black,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Alfred Hodler,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Clark Moody,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Alan Reiner,0.0,0.0,0.0,3.470693810986197e-119
Stefan Thomas,0.0,0.0,0.0,3.470693810986197e-119
Fontaine,0.0,0.0,0.0,3.470693810986197e-119
Daniel Weigl,0.0,0.0,0.0,3.470693810986197e-119
Kristov Atlas,0.0,0.0,0.0,3.470693810986197e-119
Stephen Pair,0.0,0.0,0.0,3.470693810986197e-119
Toby Padilla,0.0,0.0,0.0,3.470693810986197e-119
Ryan Havar,0.0,0.0,0.0,3.470693810986197e-119
Robert Spigler,0.0,0.0,0.0,3.470693810986197e-119
Dmitry Petukhov,0.0,0.0,0.0,3.470693810986197e-119
Suhas Daftuar,0.0,0.0,0.0,3.470693810986197e-119
James Hilliard,0.0,0.0,0.0,3.470693810986197e-119
Fabian Jahr,0.0,0.0,0.0,3.470693810986197e-119
Jorge Timón,0.0,0.0,0.0,3.470693810986197e-119
t.khan,0.0,0.0,0.0,3.470693810986197e-119
Upal Chakraborty,0.0,0.0,0.0,3.470693810986197e-119
Washington Y. Sanchez,0.0,0.0,0.0,3.470693810986197e-119
Kalle Rosenbaum,0.0,0.0,0.0,3.470693810986197e-119
Marco Pontello,0.0,0.0,0.0,3.470693810986197e-119
Steven Roose,0.0,0.0,0.0,3.470693810986197e-119
Chris Priest,0.0,0.0,0.0,3.470693810986197e-119
Andy Chase,0.0,0.0,0.0,3.470693810986197e-119
Alex Morcos,0.0,0.0,0.0,3.470693810986197e-119
Tom Zander,0.0,0.0,0.0,3.470693810986197e-119
Sancho Panza,0.0,0.0,0.0,3.470693810986197e-119
Christopher Gilliard,0.0,0.0,0.0,3.470693810986197e-119
Wladimir J. van der Laan,0.0,0.0,0.0,3.470693810986197e-119
Craig Raw,0.0,0.0,0.0,3.470693810986197e-119
Gloria Zhao,0.0,0.0,0.0,3.470693810986197e-119
Tom Briar,0.0,0.0,0.0,3.470693810986197e-119
Maxim Orlovsky,0.0,0.0,0.0,3.470693810986197e-119
Salvatore Ingala,0.0,0.0,0.0,3.470693810986197e-119
